Country_Name,Country_Code,Year,Population,Gold,Silver,Bronze,Total_Medals,Season
Australia,AUS,2008,21249199.0,14,15,17,46,Summer
Austria,AUT,2008,8321496.0,0,1,2,3,Summer
Azerbaijan,AZE,2008,8763400.0,1,1,4,6,Summer
Belgium,BEL,2008,10709973.0,2,0,0,2,Summer
Belarus,BLR,2008,9527985.0,3,4,7,14,Summer
Brazil,BRA,2008,192672317.0,3,4,10,17,Summer
Canada,CAN,2008,33247118.0,3,9,8,20,Summer
Channel Islands,CHI,2008,154475.0,0,1,0,1,Summer
China,CHN,2008,1324655000.0,48,22,30,100,Summer
Cameroon,CMR,2008,18777081.0,1,0,0,1,Summer
Colombia,COL,2008,43815313.0,0,2,1,3,Summer
Cuba,CUB,2008,11276609.0,3,10,17,30,Summer
Czechia,CZE,2008,10384603.0,3,3,1,7,Summer
Dominican Republic,DOM,2008,9522948.0,1,1,0,2,Summer
Ecuador,ECU,2008,14496797.0,0,1,0,1,Summer
"Egypt, Arab Rep.",EGY,2008,83844783.0,0,0,2,2,Summer
Spain,ESP,2008,45954106.0,5,11,3,19,Summer
Estonia,EST,2008,1337090.0,1,1,0,2,Summer
Ethiopia,ETH,2008,84357105.0,4,2,1,7,Summer
Finland,FIN,2008,5313399.0,1,1,2,4,Summer
France,FRA,2008,64379696.0,7,16,20,43,Summer
United Kingdom,GBR,2008,61806995.0,19,13,19,51,Summer
Georgia,GEO,2008,3848449.0,3,2,2,7,Summer
Hungary,HUN,2008,10038188.0,3,5,2,10,Summer
India,IND,2008,1206734806.0,1,0,2,3,Summer
Ireland,IRL,2008,4489544.0,0,1,2,3,Summer
Iceland,ISL,2008,317414.0,0,1,0,1,Summer
Israel,ISR,2008,7308800.0,0,0,1,1,Summer
Italy,ITA,2008,58826731.0,8,9,10,27,Summer
Jamaica,JAM,2008,2711373.0,5,4,2,11,Summer
Japan,JPN,2008,128063000.0,9,8,8,25,Summer
Kazakhstan,KAZ,2008,15776938.0,2,3,4,9,Summer
Kenya,KEN,2008,39186895.0,6,4,6,16,Summer
Kyrgyz Republic,KGZ,2008,5318700.0,0,1,2,3,Summer
"Korea, Rep.",KOR,2008,49054708.0,13,11,8,32,Summer
Lithuania,LTU,2008,3198231.0,0,3,2,5,Summer
Morocco,MAR,2008,31634992.0,0,1,1,2,Summer
Moldova,MDA,2008,2868833.0,0,0,1,1,Summer
Mexico,MEX,2008,109684489.0,2,0,2,4,Summer
Norway,NOR,2008,4768212.0,3,5,1,9,Summer
New Zealand,NZL,2008,4259800.0,3,2,4,9,Summer
Panama,PAN,2008,3495276.0,1,0,0,1,Summer
Poland,POL,2008,38125759.0,4,5,2,11,Summer
"Korea, Dem. People's Rep.",PRK,2008,24469047.0,2,2,2,6,Summer
Romania,ROU,2008,20537875.0,4,1,4,9,Summer
Russian Federation,RUS,2008,142742366.0,24,13,23,60,Summer
Singapore,SGP,2008,4839396.0,0,1,0,1,Summer
Serbia,SRB,2008,7350222.0,0,1,2,3,Summer
Slovak Republic,SVK,2008,5379233.0,3,3,0,6,Summer
Sweden,SWE,2008,9219637.0,0,4,1,5,Summer
Thailand,THA,2008,67328239.0,2,2,2,6,Summer
Tajikistan,TJK,2008,7324627.0,0,1,1,2,Summer
Trinidad and Tobago,TTO,2008,1392803.0,1,1,0,2,Summer
Tunisia,TUN,2008,10680380.0,1,0,0,1,Summer
Turkiye,TUR,2008,71320726.0,1,1,3,5,Summer
Ukraine,UKR,2008,46258189.0,7,4,11,22,Summer
United States,USA,2008,304093966.0,36,39,37,112,Summer
Uzbekistan,UZB,2008,27302800.0,0,1,3,4,Summer
"Venezuela, RB",VEN,2008,27933833.0,0,0,1,1,Summer
Australia,AUS,2010,22031750.0,2,1,0,3,Winter
Austria,AUT,2010,8363404.0,4,6,6,16,Winter
Belarus,BLR,2010,9483836.0,1,1,1,3,Winter
Canada,CAN,2010,34004889.0,14,7,5,26,Winter
China,CHN,2010,1337705000.0,5,2,4,11,Winter
Czechia,CZE,2010,10474410.0,2,0,4,6,Winter
Estonia,EST,2010,1331475.0,0,1,0,1,Winter
Finland,FIN,2010,5363352.0,0,1,4,5,Winter
France,FRA,2010,65030575.0,2,3,6,11,Winter
United Kingdom,GBR,2010,62766365.0,1,0,0,1,Winter
Italy,ITA,2010,59277417.0,1,1,3,5,Winter
Japan,JPN,2010,128070000.0,0,3,2,5,Winter
Kazakhstan,KAZ,2010,16321872.0,0,1,0,1,Winter
"Korea, Rep.",KOR,2010,49554112.0,6,6,2,14,Winter
Norway,NOR,2010,4889252.0,9,8,6,23,Winter
Poland,POL,2010,38042794.0,1,3,2,6,Winter
Russian Federation,RUS,2010,142849468.0,3,5,7,15,Winter
Slovak Republic,SVK,2010,5391428.0,1,1,1,3,Winter
Sweden,SWE,2010,9378126.0,5,2,4,11,Winter
United States,USA,2010,309327143.0,9,15,13,37,Winter
Afghanistan,AFG,2012,30466479.0,0,0,1,1,Summer
Argentina,ARG,2012,41733271.0,1,1,2,4,Summer
Armenia,ARM,2012,2914421.0,0,1,1,2,Summer
Australia,AUS,2012,22733465.0,8,15,12,35,Summer
Azerbaijan,AZE,2012,9295784.0,2,2,5,9,Summer
Belgium,BEL,2012,11106932.0,0,1,2,3,Summer
Belarus,BLR,2012,9446836.0,2,5,3,10,Summer
Brazil,BRA,2012,199977707.0,3,5,9,17,Summer
Brunei Darussalam,BRN,2012,406634.0,1,0,0,1,Summer
Canada,CAN,2012,34714222.0,2,6,10,18,Summer
China,CHN,2012,1354190000.0,38,31,22,91,Summer
Cameroon,CMR,2012,21032684.0,0,0,1,1,Summer
Colombia,COL,2012,45782417.0,1,3,5,9,Summer
Cuba,CUB,2012,11309290.0,5,3,7,15,Summer
Cyprus,CYP,2012,1156556.0,0,1,0,1,Summer
Czechia,CZE,2012,10510785.0,4,3,4,11,Summer
Dominican Republic,DOM,2012,10030882.0,1,1,0,2,Summer
"Egypt, Arab Rep.",EGY,2012,91240376.0,0,3,1,4,Summer
Spain,ESP,2012,46773055.0,4,10,6,20,Summer
Estonia,EST,2012,1322696.0,0,1,1,2,Summer
Ethiopia,ETH,2012,94451280.0,3,2,3,8,Summer
Finland,FIN,2012,5413971.0,0,2,1,3,Summer
France,FRA,2012,65662240.0,11,11,13,35,Summer
Gabon,GAB,2012,1836705.0,0,1,0,1,Summer
United Kingdom,GBR,2012,63700215.0,29,18,18,65,Summer
Georgia,GEO,2012,3728874.0,1,2,3,6,Summer
"Hong Kong SAR, China",HKG,2012,7150100.0,0,0,1,1,Summer
Hungary,HUN,2012,9920362.0,8,4,6,18,Summer
India,IND,2012,1274487215.0,0,2,4,6,Summer
Ireland,IRL,2012,4599533.0,1,1,4,6,Summer
Italy,ITA,2012,59539717.0,8,9,11,28,Summer
Jamaica,JAM,2012,2759817.0,4,5,3,12,Summer
Japan,JPN,2012,127629000.0,7,14,17,38,Summer
Kazakhstan,KAZ,2012,16792090.0,3,1,7,11,Summer
Kenya,KEN,2012,43725806.0,2,4,7,13,Summer
"Korea, Rep.",KOR,2012,50199853.0,13,9,8,30,Summer
Lithuania,LTU,2012,2987773.0,2,0,3,5,Summer
Morocco,MAR,2012,33352169.0,0,0,1,1,Summer
Mexico,MEX,2012,115755909.0,1,3,4,8,Summer
Montenegro,MNE,2012,620601.0,0,1,0,1,Summer
Norway,NOR,2012,5018573.0,2,1,1,4,Summer
New Zealand,NZL,2012,4408100.0,6,2,5,13,Summer
Poland,POL,2012,38063164.0,3,2,6,11,Summer
"Korea, Dem. People's Rep.",PRK,2012,24887770.0,4,0,3,7,Summer
Qatar,QAT,2012,1905660.0,0,1,1,2,Summer
Romania,ROU,2012,20058035.0,2,4,1,7,Summer
Russian Federation,RUS,2012,143201721.0,19,21,26,66,Summer
Singapore,SGP,2012,5312437.0,0,0,2,2,Summer
Serbia,SRB,2012,7199077.0,1,1,2,4,Summer
Slovak Republic,SVK,2012,5407579.0,0,1,3,4,Summer
Sweden,SWE,2012,9519374.0,1,4,3,8,Summer
Thailand,THA,2012,69157023.0,0,2,2,4,Summer
Tajikistan,TJK,2012,7956382.0,0,0,1,1,Summer
Trinidad and Tobago,TTO,2012,1430377.0,1,1,2,4,Summer
Tunisia,TUN,2012,11174383.0,2,0,1,3,Summer
Turkiye,TUR,2012,75277439.0,1,1,1,3,Summer
Uganda,UGA,2012,34273295.0,1,0,0,1,Summer
Ukraine,UKR,2012,45593342.0,5,4,10,19,Summer
United States,USA,2012,313877662.0,47,27,30,104,Summer
Uzbekistan,UZB,2012,29774500.0,0,0,3,3,Summer
"Venezuela, RB",VEN,2012,29470426.0,1,0,0,1,Summer
Australia,AUS,2014,23475686.0,0,2,1,3,Winter
Austria,AUT,2014,8546356.0,4,8,5,17,Winter
Belarus,BLR,2014,9448515.0,5,0,1,6,Winter
Canada,CAN,2014,35437435.0,10,10,5,25,Winter
China,CHN,2014,1371860000.0,3,4,2,9,Winter
Czechia,CZE,2014,10525347.0,2,4,3,9,Winter
Finland,FIN,2014,5461512.0,1,3,1,5,Winter
France,FRA,2014,66312067.0,4,4,7,15,Winter
United Kingdom,GBR,2014,64602298.0,1,1,3,5,Winter
Italy,ITA,2014,60789140.0,0,2,6,8,Winter
Japan,JPN,2014,127276000.0,1,4,3,8,Winter
Kazakhstan,KAZ,2014,17288285.0,0,0,1,1,Winter
"Korea, Rep.",KOR,2014,50746659.0,3,3,2,8,Winter
Norway,NOR,2014,5137232.0,11,6,9,26,Winter
Poland,POL,2014,38011735.0,4,1,1,6,Winter
Russian Federation,RUS,2014,143819667.0,10,10,9,29,Winter
Slovak Republic,SVK,2014,5418649.0,1,0,0,1,Winter
Sweden,SWE,2014,9696110.0,2,7,6,15,Winter
Ukraine,UKR,2014,45272155.0,1,0,1,2,Winter
United States,USA,2014,318386329.0,9,9,10,28,Winter
Argentina,ARG,2016,43590368.0,3,1,0,4,Summer
Armenia,ARM,2016,2865835.0,1,3,0,4,Summer
Australia,AUS,2016,24190907.0,8,11,10,29,Summer
Austria,AUT,2016,8736668.0,0,0,1,1,Summer
Azerbaijan,AZE,2016,9757812.0,1,7,10,18,Summer
Burundi,BDI,2016,10903327.0,0,1,0,1,Summer
Belgium,BEL,2016,11331422.0,2,2,2,6,Summer
Belarus,BLR,2016,9469379.0,1,4,4,9,Summer
Brazil,BRA,2016,206859578.0,7,6,6,19,Summer
Brunei Darussalam,BRN,2016,425994.0,1,1,0,2,Summer
Canada,CAN,2016,36109487.0,4,3,15,22,Summer
China,CHN,2016,1387790000.0,26,18,26,70,Summer
Cote d'Ivoire,CIV,2016,24213622.0,1,0,1,2,Summer
Colombia,COL,2016,47625955.0,3,2,3,8,Summer
Cuba,CUB,2016,11342012.0,5,2,4,11,Summer
Czechia,CZE,2016,10566332.0,1,2,7,10,Summer
Dominican Republic,DOM,2016,10527592.0,0,0,1,1,Summer
"Egypt, Arab Rep.",EGY,2016,99784030.0,0,0,3,3,Summer
Spain,ESP,2016,46484062.0,7,4,6,17,Summer
Estonia,EST,2016,1315790.0,0,0,1,1,Summer
Ethiopia,ETH,2016,105293228.0,1,2,5,8,Summer
Finland,FIN,2016,5495303.0,0,0,1,1,Summer
France,FRA,2016,66724104.0,10,18,14,42,Summer
United Kingdom,GBR,2016,65611593.0,27,23,17,67,Summer
Georgia,GEO,2016,3727505.0,2,1,4,7,Summer
Hungary,HUN,2016,9814023.0,8,3,4,15,Summer
India,IND,2016,1338636340.0,0,1,1,2,Summer
Ireland,IRL,2016,4755335.0,0,2,0,2,Summer
Israel,ISR,2016,8546000.0,0,0,2,2,Summer
Italy,ITA,2016,60627498.0,8,12,8,28,Summer
Jamaica,JAM,2016,2802695.0,6,3,2,11,Summer
Jordan,JOR,2016,9964656.0,1,0,0,1,Summer
Japan,JPN,2016,127076000.0,12,8,21,41,Summer
Kazakhstan,KAZ,2016,17794055.0,2,5,10,17,Summer
Kenya,KEN,2016,47894670.0,6,6,1,13,Summer
"Korea, Rep.",KOR,2016,51217803.0,9,3,9,21,Summer
Lithuania,LTU,2016,2868231.0,0,1,3,4,Summer
Morocco,MAR,2016,35107264.0,0,0,1,1,Summer
Mexico,MEX,2016,121519221.0,0,3,2,5,Summer
Norway,NOR,2016,5234519.0,0,0,4,4,Summer
New Zealand,NZL,2016,4714100.0,4,9,5,18,Summer
Poland,POL,2016,37970087.0,2,3,6,11,Summer
"Korea, Dem. People's Rep.",PRK,2016,25389611.0,2,3,2,7,Summer
Qatar,QAT,2016,2595166.0,0,1,0,1,Summer
Romania,ROU,2016,19702267.0,1,1,2,4,Summer
Russian Federation,RUS,2016,144342397.0,19,17,20,56,Summer
Singapore,SGP,2016,5607283.0,1,0,0,1,Summer
Serbia,SRB,2016,7058322.0,2,4,2,8,Summer
Slovak Republic,SVK,2016,5430798.0,2,2,0,4,Summer
Sweden,SWE,2016,9923085.0,2,6,3,11,Summer
Thailand,THA,2016,70607037.0,2,2,2,6,Summer
Tajikistan,TJK,2016,8725318.0,1,0,0,1,Summer
Trinidad and Tobago,TTO,2016,1469330.0,0,0,1,1,Summer
Tunisia,TUN,2016,11685667.0,0,0,3,3,Summer
Turkiye,TUR,2016,81019394.0,1,3,4,8,Summer
Ukraine,UKR,2016,45004673.0,2,5,4,11,Summer
United States,USA,2016,323071755.0,46,37,38,121,Summer
Uzbekistan,UZB,2016,31847900.0,4,2,7,13,Summer
"Venezuela, RB",VEN,2016,30741464.0,0,2,1,3,Summer
Australia,AUS,2018,24966643.0,0,2,1,3,Winter
Austria,AUT,2018,8840521.0,5,3,6,14,Winter
Belgium,BEL,2018,11427054.0,0,1,0,1,Winter
Belarus,BLR,2018,9438785.0,2,1,0,3,Winter
Canada,CAN,2018,37065084.0,11,8,10,29,Winter
China,CHN,2018,1402760000.0,1,6,2,9,Winter
Czechia,CZE,2018,10629928.0,2,2,3,7,Winter
Spain,ESP,2018,46797754.0,0,0,2,2,Winter
Finland,FIN,2018,5515525.0,1,1,4,6,Winter
France,FRA,2018,67158348.0,5,4,6,15,Winter
United Kingdom,GBR,2018,66460344.0,1,0,4,5,Winter
Hungary,HUN,2018,9775564.0,1,0,0,1,Winter
Italy,ITA,2018,60421760.0,3,2,5,10,Winter
Japan,JPN,2018,126811000.0,4,5,4,13,Winter
Kazakhstan,KAZ,2018,18276452.0,0,0,1,1,Winter
"Korea, Rep.",KOR,2018,51585058.0,5,8,4,17,Winter
Liechtenstein,LIE,2018,38181.0,0,0,1,1,Winter
Norway,NOR,2018,5311916.0,14,14,11,39,Winter
New Zealand,NZL,2018,4900600.0,0,0,2,2,Winter
Poland,POL,2018,37974750.0,1,0,1,2,Winter
Slovak Republic,SVK,2018,5446771.0,1,2,0,3,Winter
Sweden,SWE,2018,10175214.0,7,6,1,14,Winter
Ukraine,UKR,2018,44622518.0,1,0,0,1,Winter
United States,USA,2018,326838199.0,9,8,6,23,Winter
Argentina,ARG,2020,45376763.0,0,1,2,3,Summer
Armenia,ARM,2020,2805608.0,0,2,2,4,Summer
Australia,AUS,2020,25655289.0,17,7,22,46,Summer
Austria,AUT,2020,8916864.0,1,1,5,7,Summer
Azerbaijan,AZE,2020,10093121.0,0,3,4,7,Summer
Belgium,BEL,2020,11538604.0,3,1,3,7,Summer
Belarus,BLR,2020,9379952.0,1,3,3,7,Summer
Brazil,BRA,2020,213196304.0,7,6,8,21,Summer
Brunei Darussalam,BRN,2020,441725.0,0,1,0,1,Summer
Canada,CAN,2020,38037204.0,7,6,11,24,Summer
China,CHN,2020,1411100000.0,38,32,18,88,Summer
Cote d'Ivoire,CIV,2020,26811790.0,0,0,1,1,Summer
Colombia,COL,2020,50930662.0,0,4,1,5,Summer
Cuba,CUB,2020,11300698.0,7,3,5,15,Summer
Czechia,CZE,2020,10697858.0,4,4,3,11,Summer
Dominican Republic,DOM,2020,10999664.0,0,3,2,5,Summer
Ecuador,ECU,2020,17588595.0,2,1,0,3,Summer
"Egypt, Arab Rep.",EGY,2020,107465134.0,1,1,4,6,Summer
Spain,ESP,2020,47365655.0,3,8,6,17,Summer
Estonia,EST,2020,1329522.0,1,0,1,2,Summer
Ethiopia,ETH,2020,117190911.0,1,1,2,4,Summer
Finland,FIN,2020,5529543.0,0,0,2,2,Summer
France,FRA,2020,67571107.0,10,12,11,33,Summer
United Kingdom,GBR,2020,67081000.0,22,20,22,64,Summer
Georgia,GEO,2020,3722716.0,2,5,1,8,Summer
Ghana,GHA,2020,32180401.0,0,0,1,1,Summer
"Hong Kong SAR, China",HKG,2020,7481000.0,1,2,3,6,Summer
Hungary,HUN,2020,9750149.0,6,7,7,20,Summer
India,IND,2020,1396387127.0,1,2,4,7,Summer
Ireland,IRL,2020,4985382.0,2,0,2,4,Summer
Israel,ISR,2020,9215100.0,2,0,2,4,Summer
Italy,ITA,2020,59438851.0,10,10,20,40,Summer
Jamaica,JAM,2020,2820436.0,4,1,4,9,Summer
Jordan,JOR,2020,10928721.0,0,1,1,2,Summer
Japan,JPN,2020,126261000.0,27,14,17,58,Summer
Kazakhstan,KAZ,2020,18755666.0,0,0,8,8,Summer
Kenya,KEN,2020,51985780.0,4,4,2,10,Summer
Kyrgyz Republic,KGZ,2020,6579900.0,0,2,1,3,Summer
"Korea, Rep.",KOR,2020,51836239.0,6,4,10,20,Summer
Lithuania,LTU,2020,2794885.0,0,1,0,1,Summer
Morocco,MAR,2020,36688772.0,1,0,0,1,Summer
Moldova,MDA,2020,2635130.0,0,0,1,1,Summer
Mexico,MEX,2020,125998302.0,0,0,4,4,Summer
North Macedonia,MKD,2020,2072531.0,0,1,0,1,Summer
Namibia,NAM,2020,2489098.0,0,1,0,1,Summer
Norway,NOR,2020,5379475.0,4,2,2,8,Summer
New Zealand,NZL,2020,5090200.0,7,6,7,20,Summer
Poland,POL,2020,37899070.0,4,5,5,14,Summer
Qatar,QAT,2020,2760385.0,2,0,1,3,Summer
Romania,ROU,2020,19265250.0,1,3,0,4,Summer
San Marino,SMR,2020,34007.0,0,1,2,3,Summer
Serbia,SRB,2020,6899126.0,3,1,5,9,Summer
Slovak Republic,SVK,2020,5458827.0,1,2,1,4,Summer
Sweden,SWE,2020,10353442.0,3,6,0,9,Summer
Syrian Arab Republic,SYR,2020,20772595.0,0,0,1,1,Summer
Thailand,THA,2020,71475664.0,1,0,1,2,Summer
Turkmenistan,TKM,2020,6250438.0,0,1,0,1,Summer
Tunisia,TUN,2020,12161723.0,1,1,0,2,Summer
Turkiye,TUR,2020,84135428.0,2,2,9,13,Summer
Uganda,UGA,2020,44404611.0,2,1,1,4,Summer
Ukraine,UKR,2020,44132049.0,1,6,12,19,Summer
United States,USA,2020,331501080.0,39,41,33,113,Summer
Uzbekistan,UZB,2020,34232050.0,3,0,2,5,Summer
"Venezuela, RB",VEN,2020,28490453.0,1,3,0,4,Summer
